{51, 14, 31, 40, 15, 88, 34, 48, 8, 25, 97, 9, 15, 56, 47, 96, 24, 1, 1, 48, 100, 29, 81, 52, 46, 68, 71, 14, 98, 25, 71, 49, 5, 1, 55, 21, 89, 56, 69, 63, 81, 65, 38, 96, 87, 85, 57, 10, 53, 59, 25, 52, 54, 72, 3, 0, 39, 41, 14, 36, 66, 86, 85, 71}
{53, 6, 58, 42, 62, 93, 71, 42, 57, 9, 38, 10, 60, 61, 87, 12, 86, 78, 64, 40, 49, 34, 40, 88, 75, 20, 91, 6, 5, 41, 43, 59, 47, 1, 67, 8, 94, 3, 17, 17, 79, 21, 27, 39, 82, 80, 17, 68, 58, 48, 74, 6, 48, 13, 61, 22, 100, 51, 95, 5, 58, 37, 30, 5}
{4, 63, 80, 99, 66, 63, 82, 11, 84, 75, 50, 32, 54, 33, 100, 11, 81, 73, 18, 28, 52, 79, 16, 51, 96, 10, 22, 53, 48, 18, 24, 18, 47, 71, 16, 80, 100, 64, 91, 84, 38, 6, 15, 93, 39, 81, 3, 20, 19, 88, 14, 37, 32, 31, 54, 27, 7, 43, 47, 55, 27, 37, 74, 75}
{74, 56, 20, 74, 20, 77, 57, 24, 83, 38, 16, 21, 85, 20, 7, 3, 7, 89, 6, 40, 19, 60, 33, 26, 69, 46, 48, 97, 84, 88, 37, 57, 9, 23, 30, 96, 100, 53, 20, 82, 57, 36, 69, 41, 22, 43, 10, 97, 31, 16, 2, 16, 43, 35, 8, 78, 82, 56, 74, 31, 9, 77, 54, 86}
{100, 51, 81, 65, 3, 0, 46, 27, 3, 82, 68, 92, 91, 45, 88, 21, 27, 90, 3, 36, 92, 11, 14, 39, 34, 88, 36, 43, 31, 90, 28, 97, 40, 76, 62, 10, 42, 74, 37, 45, 55, 71, 3, 11, 15, 91, 32, 43, 47, 1, 79, 38, 13, 93, 43, 47, 47, 79, 56, 44, 68, 85, 40, 8}
{26, 1, 85, 68, 76, 21, 80, 97, 92, 83, 8, 74, 73, 40, 83, 86, 8, 61, 90, 21, 20, 32, 68, 33, 77, 23, 43, 45, 74, 83, 19, 100, 85, 3, 34, 60, 91, 13, 22, 82, 96, 30, 21, 34, 37, 3, 20, 45, 31, 9, 66, 51, 42, 100, 50, 18, 89, 93, 29, 29, 41, 14, 95, 25}
{84, 28, 51, 74, 41, 74, 22, 2, 3, 43, 37, 6, 47, 23, 51, 78, 32, 16, 95, 40, 82, 10, 25, 37, 69, 20, 66, 9, 35, 60, 1, 18, 55, 52, 59, 62, 92, 81, 65, 62, 90, 68, 68, 36, 91, 19, 80, 89, 1, 40, 96, 50, 50, 20, 87, 18, 40, 52, 95, 41, 78, 96, 26, 32}
{13, 85, 95, 5, 31, 25, 33, 20, 93, 0, 23, 49, 86, 2, 3, 88, 43, 99, 3, 59, 18, 90, 44, 25, 41, 38, 32, 85, 100, 58, 17, 12, 8, 78, 17, 39, 2, 50, 26, 61, 17, 49, 76, 2, 17, 79, 56, 26, 44, 59, 86, 62, 14, 96, 53, 21, 100, 86, 6, 99, 9, 90, 10, 18}
{67, 95, 57, 35, 10, 83, 96, 27, 98, 71, 97, 15, 15, 18, 41, 59, 44, 93, 88, 58, 54, 6, 80, 53, 58, 86, 51, 68, 41, 62, 86, 7, 22, 8, 42, 32, 58, 3, 26, 55, 40, 89, 70, 55, 6, 78, 81, 50, 36, 34, 8, 91, 40, 54, 43, 99, 5, 61, 32, 46, 22, 17, 53, 10}
{92, 61, 42, 49, 64, 34, 4, 70, 22, 40, 91, 29, 84, 71, 45, 20, 4, 19, 77, 11, 73, 19, 76, 78, 80, 7, 90, 68, 24, 8, 78, 15, 69, 87, 31, 99, 87, 35, 68, 9, 41, 59, 4, 25, 96, 49, 11, 67, 69, 88, 78, 7, 6, 53, 86, 53, 26, 75, 87, 16, 84, 65, 98, 18}
